asset_idx,asset,l2,cos
44,UNH,0.015465502805355722,1.0952586476789627e-05
31,NVO,0.014976686760991377,9.496885687872024e-06
24,LLY,0.014198293196323465,8.345908706237063e-06
6,BABA,0.01366859727449838,8.226759231577675e-06
1,ABBV,0.013641134004467544,9.013585042872937e-06
29,NSRGY,0.01359457678375417,7.6484619321734e-06
27,MRK,0.013488642357517603,8.005910684153712e-06
40,TSLA,0.013422178012215251,8.585644443829864e-06
46,VALE,0.013304528629330407,7.979377086379579e-06
23,KO,0.013234640498064857,7.437529992960015e-06
10,COST,0.013215042228339276,8.509078338928448e-06
28,MSFT,0.013156674834852129,7.76326639374583e-06
8,BP,0.013143260440961719,7.594922780646175e-06
0,AAPL,0.013138997222580967,7.693486021544888e-06
11,CVX,0.013134462963799328,7.2966562312216974e-06
15,GOOGL,0.013074452114294333,7.2462549529095e-06
30,NVDA,0.013073991254348822,7.824209037289631e-06
47,XOM,0.013054525073463916,7.299203748010616e-06
39,TM,0.013045022133624226,8.098829959541705e-06
36,SAP,0.01300187629722494,7.224047307290284e-06
43,TTE,0.012911384778926406,6.965855459203828e-06
4,AVGO,0.01284984603779144,7.414487710609027e-06
5,BA,0.012812943279767475,7.324090914556837e-06
16,HD,0.012801810602657535,7.662708620293663e-06
26,META,0.012702624697758897,7.2263662469155525e-06
17,HMC,0.012535491116507166,6.8046222351380066e-06
13,FMX,0.012518052970415798,6.904748060651108e-06
21,JNJ,0.012511288951597253,7.4146737377947975e-06
41,V,0.01249874183989683,7.293913700284581e-06
12,DE,0.012474303448091613,6.994267077110916e-06
34,PG,0.012421536037158997,7.043136202515342e-06
42,TSM,0.012381187909522338,6.835842119839112e-06
25,MA,0.012295695719348847,7.430796105514512e-06
19,HSBC,0.01211258296925594,7.0826412919566455e-06
33,PEP,0.012106194309914855,6.936036760724969e-06
18,HON,0.011920518025581988,6.041824723231642e-06
14,GE,0.011914730142689829,6.223936690403202e-06
38,SNY,0.011853253971499332,6.1823097984196305e-06
20,IBN,0.011830836192542002,5.965860675136785e-06
9,CAT,0.011823553405274375,6.061996933846086e-06
7,BHP,0.011609776385794674,6.024012044002527e-06
2,AMZN,0.011550882492448275,6.248141850386372e-06
45,WMT,0.011464641886274659,5.721742340389985e-06
37,SONY,0.011392350450106701,5.66155490290158e-06
35,SAN,0.011292100020201368,5.217353859082908e-06
32,NVS,0.01128784792407247,5.676854711892638e-06
3,ASML,0.011056413220501531,5.665110530185938e-06
22,JPM,0.010558189451340455,5.244121617823645e-06
