date,E,edge_attr_mean,edge_attr_mean_abs,edge_attr_min,edge_attr_max,neg_frac
2023-01-06,530,0.632623016834259,0.6395999789237976,-0.3257441818714142,0.95122891664505,0.011320754716981131
2023-01-13,530,0.6322065591812134,0.6384177803993225,-0.5019540190696716,0.9514540433883667,0.007547169811320755
2023-01-20,524,0.6340733766555786,0.6397311091423035,-0.43917572498321533,0.961683452129364,0.007633587786259542
2023-01-27,524,0.6334968209266663,0.6391624212265015,-0.43732795119285583,0.9622318148612976,0.007633587786259542
2023-02-03,518,0.6320279240608215,0.6354871988296509,-0.4479725658893585,0.9452205896377563,0.003861003861003861
2023-02-10,526,0.6246434450149536,0.6336154341697693,-0.5260265469551086,0.945131778717041,0.011406844106463879
2023-02-17,522,0.6083330512046814,0.6179554462432861,-0.5581560134887695,0.9420453906059265,0.011494252873563218
2023-02-24,522,0.586879312992096,0.5999817848205566,-0.5739201307296753,0.9410481452941895,0.01532567049808429
2023-03-03,522,0.5855205059051514,0.6008015275001526,-0.5833300948143005,0.9399972558021545,0.019157088122605363
2023-03-10,508,0.5683916807174683,0.5888729691505432,-0.6248952746391296,0.9317420125007629,0.023622047244094488
